"BIB_DOC","CTRL_FIELDS","CIS_BIBS","OCLC_BIBS"
24203162,4,1,1
24202472,4,1,1
24203645,2,1,1
24202171,3,1,1
25750465,2,1,1
25752801,2,1,1
24204486,2,1,1
24354127,2,1,1
24463967,2,1,1
23891524,2,1,1
24340614,2,1,1
25380171,2,1,1
25382917,2,1,1
25321217,2,1,1
24435513,2,1,1
23756179,3,1,1
25192137,2,1,1
25388127,2,1,1
25505579,2,1,1
24355367,2,1,1
25439350,2,1,1
25587483,2,1,1
24456288,2,1,1
26241607,2,1,1
24478492,2,1,1
24044589,2,1,1
23974790,2,1,1
24007906,2,1,1
23915316,2,1,1
23913692,2,1,1
24157792,2,1,1
24223133,4,1,1
23916473,2,1,1
23917501,2,1,1
23914937,2,1,1
23921509,2,1,1
24209580,4,1,1
25702179,2,1,1
23919784,2,1,1
24458769,2,1,1
24109963,2,1,1
24210552,2,1,1
24561178,2,1,1
24261605,2,1,1
25363952,2,1,1
24514540,2,1,1
23862123,2,1,1
24487939,2,1,1
24115627,2,1,1
24353264,2,1,1
25498208,2,1,1
24158598,2,1,1
24041913,2,1,1
24534719,2,1,1
25498433,2,1,1
24313177,2,1,1
25497950,2,1,1
24164155,2,1,1
24158948,2,1,1
23963954,2,1,1
25504154,2,1,1
24163897,2,1,1
25510217,2,1,1
25510278,2,1,1
25506965,2,1,1
24214684,2,1,1
24097238,2,1,1
25519043,2,1,1
24214680,3,1,1
24016503,2,1,1
25520416,2,1,1
25520115,2,1,1
24413358,2,1,1
24215730,2,1,1
25523857,2,1,1
25523798,2,1,1
25527209,2,1,1
25526837,2,1,1
25524080,2,1,1
25530511,2,1,1
24117700,2,1,1
25578232,2,1,1
25488657,2,1,1
25540096,2,1,1
25578261,2,1,1
25483296,2,1,1
24119223,2,1,1
24358280,2,1,1
24416949,2,1,1
24467250,2,1,1
24167056,2,1,1
24361302,2,1,1
24118853,2,1,1
24019862,2,1,1
24218001,2,1,1
24330680,2,1,1
24317273,2,1,1
25615330,2,1,1
26264672,2,1,1
24457698,2,1,1
24517063,2,1,1
25776215,2,1,1
24218772,2,1,1
24017069,2,1,1
24219592,2,1,1
25695057,2,1,1
25652797,2,1,1
25588746,2,1,1
24270587,2,1,1
24122918,2,1,1
24140168,2,1,1
24271355,2,1,1
23924544,2,1,1
24123372,2,1,1
25557846,2,1,1
25554407,2,1,1
25553809,2,1,1
25677140,2,1,1
24124237,2,1,1
25503365,2,1,1
24223570,4,1,1
25547756,2,1,1
24519796,2,1,1
24124976,2,1,1
24124622,2,1,1
25699741,2,1,1
25558955,2,1,1
24125114,2,1,1
25599272,2,1,1
25755141,2,1,1
24027419,2,1,1
24220733,4,1,1
24221258,4,1,1
23924918,2,1,1
24222516,2,1,1
24222446,2,1,1
24224591,2,1,1
24221207,4,1,1
24074617,2,1,1
24222889,2,1,1
24324311,2,1,1
25573410,2,1,1
24164712,2,1,1
23975656,2,1,1
24205657,4,1,1
24575695,2,1,1
24523768,2,1,1
24320583,2,1,1
24027906,2,1,1
23927158,2,1,1
24205383,3,1,1
24171029,2,1,1
24275389,2,1,1
24425934,2,1,1
24077321,2,1,1
25742394,2,1,1
24425769,2,1,1
24126820,2,1,1
23775131,3,1,1
25626545,2,1,1
24327414,2,1,1
23978200,2,1,1
24129224,2,1,1
25631308,2,1,1
25631282,2,1,1
24626727,2,1,1
24176222,2,1,1
24578683,2,1,1
23879214,2,1,1
25646955,2,1,1
23981599,2,1,1
25048555,2,1,1
24079971,2,1,1
24301838,2,1,1
24229733,2,1,1
24131792,2,1,1
23879263,2,1,1
24279291,3,1,1
24528277,2,1,1
24528989,2,1,1
24479363,2,1,1
24280838,2,1,1
24073581,2,1,1
24099249,2,1,1
24582268,2,1,1
23982001,2,1,1
23882469,2,1,1
25719911,2,1,1
24231179,2,1,1
24083144,2,1,1
23792673,3,1,1
24182308,2,1,1
24083267,2,1,1
24233209,2,1,1
24333020,2,1,1
24108149,2,1,1
25718000,2,1,1
23799251,3,1,1
25722035,2,1,1
25381229,2,1,1
23884167,2,1,1
23785962,3,1,1
25732100,2,1,1
25808398,2,1,1
23755808,4,1,1
23735485,3,1,1
25390762,2,1,1
24138211,2,1,1
25033867,2,1,1
24137711,2,1,1
24187101,2,1,1
24036429,2,1,1
24435666,2,1,1
24036311,2,1,1
25063016,2,1,1
23737343,3,1,1
24286820,2,1,1
24438231,2,1,1
23738071,4,1,1
25226104,2,1,1
24140184,2,1,1
24489770,2,1,1
23972514,2,1,1
24288856,2,1,1
24540182,2,1,1
25784955,2,1,1
24194205,2,1,1
24194389,2,1,1
24289799,2,1,1
24694627,2,1,1
24541254,2,1,1
23793063,3,1,1
24143691,2,1,1
23994865,2,1,1
24493253,2,1,1
24047095,2,1,1
24440208,2,1,1
24145012,2,1,1
24291665,2,1,1
24046119,2,1,1
23747217,3,1,1
24195166,2,1,1
24942886,2,1,1
23742434,3,1,1
24193887,2,1,1
24493751,2,1,1
23944993,2,1,1
24029055,2,1,1
24494816,2,1,1
24394775,2,1,1
24095805,2,1,1
24096642,2,1,1
24396996,2,1,1
24346505,2,1,1
24345672,2,1,1
24345974,2,1,1
24097769,2,1,1
24397835,2,1,1
25714627,2,1,1
24295290,2,1,1
